origin_id,destination_id,mode,duration_seconds,distance_meters
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJN0L8q9LSD4gRNSMWSKNjIM0,driving,112,787
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJN0L8q9LSD4gRNSMWSKNjIM0,walking,643,787
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJde-CZxwtDogRbL_SWphLBEk,driving,523,3365
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJde-CZxwtDogRbL_SWphLBEk,walking,2052,2619
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiWe7DaYsDogREwDDFjcd9pk,driving,233,1563
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiWe7DaYsDogREwDDFjcd9pk,walking,804,1013
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJQ6vcPuTSD4gRTbyKKQufF_o,driving,612,3947
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJQ6vcPuTSD4gRTbyKKQufF_o,walking,3064,4004
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJAf82-CctDogRowFnWtg4lco,driving,225,1547
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJAf82-CctDogRowFnWtg4lco,walking,904,1168
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJJW8vOWAtDogRA0JukJqeJeI,driving,742,7807
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJJW8vOWAtDogRA0JukJqeJeI,walking,3356,4329
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx6qly3rTD4gRLJDyWfXS5vY,driving,356,2365
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx6qly3rTD4gRLJDyWfXS5vY,walking,1737,2292
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ7agokhvTD4gRNiFRSbmBwfQ,driving,752,4760
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ7agokhvTD4gRNiFRSbmBwfQ,walking,3628,4760
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJf3h_t9osDogReehZO7Hgk50,driving,432,2210
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJf3h_t9osDogReehZO7Hgk50,walking,1549,2027
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJKRPpWNosDogRQuOS-Cc1lUM,driving,391,2033
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJKRPpWNosDogRQuOS-Cc1lUM,walking,1446,1860
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJXxwm3BnTD4gR1Y9NlVH_RU8,driving,684,4611
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJXxwm3BnTD4gR1Y9NlVH_RU8,walking,3448,4544
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJl3NYatMsDogRynr1Y4Cbp98,driving,611,4094
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJl3NYatMsDogRynr1Y4Cbp98,walking,3064,4027
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqXBBmzksDogR8pDe_sK-74Q,driving,880,11743
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqXBBmzksDogR8pDe_sK-74Q,walking,5791,7638
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJsxhF-80sDogRLLzNkOUORZ4,driving,275,1824
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJsxhF-80sDogRLLzNkOUORZ4,walking,1316,1746
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJg8Oa6M0sDogR3e1jtbxfK2c,driving,271,1812
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJg8Oa6M0sDogR3e1jtbxfK2c,walking,1345,1757
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJNW9nJMMsDogRpGxxNBLo9Ic,driving,548,2925
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJNW9nJMMsDogRpGxxNBLo9Ic,walking,2131,2782
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJfxX6KZItDogRhRmRbe58p-g,driving,348,2056
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJfxX6KZItDogRhRmRbe58p-g,walking,1450,1898
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJa6l3MhjTD4gR7_dFRCJ_Et4,driving,659,4477
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJa6l3MhjTD4gR7_dFRCJ_Et4,walking,3341,4410
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ9UWPMNosDogR63ijWQvYXqM,driving,537,2998
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ9UWPMNosDogR63ijWQvYXqM,walking,1937,2512
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJvec7ZoYtDogRUm_Xw_yGddw,driving,718,7504
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJvec7ZoYtDogRUm_Xw_yGddw,walking,4381,5785
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJd5wenTfTD4gR12h2iKWrxwc,driving,562,3761
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJd5wenTfTD4gR12h2iKWrxwc,walking,2680,3534
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJS0kqaTItDogRXIgU7nCVHKQ,driving,542,3056
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJS0kqaTItDogRXIgU7nCVHKQ,walking,2220,2891
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJXwlAkmEsDogRITn2CxFDphQ,driving,830,8443
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJXwlAkmEsDogRITn2CxFDphQ,walking,5043,6671
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJe19TdGEsDogRnqHzxT0P3PU,driving,813,8217
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJe19TdGEsDogRnqHzxT0P3PU,walking,4917,6497
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ8U0rEmIsDogROcBPM_7xIL4,driving,802,8328
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ8U0rEmIsDogROcBPM_7xIL4,walking,4996,6609
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ2XNoa2QsDogRMUkADowOkIw,driving,859,11123
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ2XNoa2QsDogRMUkADowOkIw,walking,5359,7062
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJVzr2yrMsDogRNWrUba0n1AY,driving,536,3342
