Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Champaign, IL, United States",04/22/2021 06:00:00,54.9,45.9,51.8,40.1,,0,0,0,0,12,278.6,18.3,15,7.3,33.4,Clear
"Champaign, IL, United States",04/22/2021 18:00:00,54.1,40,43.2,35.2,,0,0,0,0,6.6,215.8,11.4,15,41.5,57.6,Partially cloudy
"Champaign, IL, United States",04/23/2021 06:00:00,56.9,38.9,50.6,33.3,,57,0,0,0,13,186.7,23,15,68.9,59.4,"Rain, Partially cloudy"
"Champaign, IL, United States",04/23/2021 18:00:00,54.9,48.6,50.5,45.5,,85.6,0.31,0,0,8.1,154.4,18.3,2.4,85.8,78.9,"Rain, Overcast"
"Champaign, IL, United States",04/24/2021 06:00:00,56,47.9,52.2,45.3,,85.6,0.29,0,0,7.8,142.8,17.2,4.3,79.9,85.3,"Rain, Overcast"
"Champaign, IL, United States",04/24/2021 18:00:00,54.8,41.6,47.8,36.5,,23.7,0,0,0,9.9,283.3,19.5,15,34.4,77.8,Partially cloudy
"Champaign, IL, United States",04/25/2021 06:00:00,56,40,50.1,35.2,,0,0,0,0,7.3,45.4,15.4,15,29.8,69.1,Partially cloudy
"Champaign, IL, United States",04/25/2021 18:00:00,56,45.9,49.7,40.8,,0,0,0,0,9.5,128,17.7,15,38.7,58.1,Partially cloudy
"Champaign, IL, United States",04/26/2021 06:00:00,70.1,45.9,61,40.5,,0,0,0,0,16.9,168.5,28.9,15,26.1,62.6,Partially cloudy
"Champaign, IL, United States",04/26/2021 18:00:00,70.1,60,64.6,,,0,0,0,0,16.7,191.1,26.8,15,23.6,57.5,Clear
"Champaign, IL, United States",04/27/2021 06:00:00,76.9,58.9,69.9,,,9.5,0,0,0,18.1,188.8,27.5,15,50,65.8,Partially cloudy
"Champaign, IL, United States",04/27/2021 18:00:00,75.3,63.9,68.9,,,81,0.07,0,0,18.5,186.4,26.4,15,69.3,60.8,"Rain, Partially cloudy"
"Champaign, IL, United States",04/28/2021 06:00:00,71,63.1,67.3,,,81,0.02,0,0,17.3,196.3,27.5,15,77.1,75.6,"Rain, Overcast"
"Champaign, IL, United States",04/28/2021 18:00:00,66.8,65.9,66.4,,,71.4,0.08,0,0,13.3,200,24.8,11.4,77,69.5,"Rain, Overcast"
"Champaign, IL, United States",04/29/2021 06:00:00,55.3,47,49.9,40.3,,57,0.01,0,0,19.8,20,31.8,15,76.4,70.5,"Rain, Overcast"
"Champaign, IL, United States",04/29/2021 18:00:00,51.7,35.7,42.2,27,,57,0,0,0,14.7,15.3,34.9,15,1,57,Rain
"Champaign, IL, United States",04/30/2021 06:00:00,57.1,35.7,48.2,27.2,,19,0,0,0,14.2,6.9,28.6,15,17.6,51.2,Clear
"Champaign, IL, United States",04/30/2021 18:00:00,53.6,39.8,45.4,34.5,,19,0.07,0,0,6.6,89,18.3,9.2,98.8,60,Overcast
"Champaign, IL, United States",05/01/2021 06:00:00,45.7,40.6,42.9,34.7,,23.7,0.03,0,0,9.1,336,21.5,13,100,82.8,Overcast
"Champaign, IL, United States",05/01/2021 18:00:00,45.8,44.3,44.8,43.3,,23.7,0.05,0,0,2.7,159.2,8.1,15,100,91.1,Overcast
"Champaign, IL, United States",05/02/2021 06:00:00,51.4,44.8,48.3,47,,14.3,0,0,0,2.3,182.6,2.9,15,99.9,84.1,Overcast
"Champaign, IL, United States",05/02/2021 18:00:00,51.7,48.4,50,49.2,,19,0,0,0,2.2,130.5,5.6,15,77.4,81.4,Overcast
"Champaign, IL, United States",05/03/2021 06:00:00,62.1,48.3,57.2,,,38,0,0,0,3.1,191,4.9,15,67.3,64.9,Partially cloudy
"Champaign, IL, United States",05/03/2021 18:00:00,60.9,51.5,55.2,,,38,0,0,0,2.9,138.3,6,15,99.9,71.7,Overcast
"Champaign, IL, United States",05/04/2021 06:00:00,64.1,51.6,59.1,,,28.6,0,0,0,6.4,141.9,11.6,15,100,70.2,Overcast
"Champaign, IL, United States",05/04/2021 18:00:00,59.7,55.8,57.2,,,42.9,0.04,0,0,4.7,158,9.8,12.5,99.9,88.6,Overcast
"Champaign, IL, United States",05/05/2021 06:00:00,69,56.1,63.4,,,42.9,0.01,0,0,4.5,218.2,8,15,80.3,78,Overcast
"Champaign, IL, United States",05/05/2021 18:00:00,68.4,57.6,63.2,,,47.5,0.01,0,0,4.2,122.5,7.2,15,43.2,80.3,Partially cloudy
"Champaign, IL, United States",05/06/2021 06:00:00,77.3,58.6,69.2,,,47.5,0,0,0,4.1,53.2,6.3,15,71.1,59.7,Partially cloudy
"Champaign, IL, United States",05/06/2021 18:00:00,72.6,59.7,64.9,,,33.2,0,0,0,4,146.8,7.6,15,36.4,70.7,Partially cloudy
"Champaign, IL, United States",05/07/2021 06:00:00,78.5,59.4,71.2,,,23.7,0,0,0,6.9,144.1,10,15,5,56.7,Clear
"Champaign, IL, United States",05/07/2021 18:00:00,75.1,62.3,67.9,,,19,0,0,0,7.2,146.4,19,15,5.2,68.7,Clear
