origin_id,destination_id,mode,duration_seconds,distance_meters
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJiZIjJknXDIgR8CBqGLrluGE,driving,199,1114
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJiZIjJknXDIgR8CBqGLrluGE,walking,817,1047
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJL4_lNDbXDIgRLqBPGB1HM40,driving,83,483
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJL4_lNDbXDIgRLqBPGB1HM40,walking,380,483
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ-9lDyTfXDIgR5T7Epw42dnI,driving,92,533
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ-9lDyTfXDIgR5T7Epw42dnI,walking,424,533
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFUmG5EjXDIgRMfPEJwLyHBw,driving,172,967
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFUmG5EjXDIgRMfPEJwLyHBw,walking,693,900
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJHfEixDfXDIgR0SBsjbDpCJk,driving,67,399
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJHfEixDfXDIgR0SBsjbDpCJk,walking,310,399
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJU7AMQDjXDIgRHMuvh8rWji0,driving,30,157
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJU7AMQDjXDIgRHMuvh8rWji0,walking,134,157
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJc8nXC9PQDIgR_eVWfH_bzWQ,driving,98,569
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJc8nXC9PQDIgR_eVWfH_bzWQ,walking,441,569
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,driving,12,53
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,walking,38,53
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,driving,141,746
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,walking,537,680
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJiV_97yjXDIgRU_czihqtLs8,driving,369,2513
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJiV_97yjXDIgRU_czihqtLs8,walking,1797,2341
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJY_SduzjXDIgRJFsXW6Kba88,driving,16,70
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJY_SduzjXDIgRJFsXW6Kba88,walking,51,70
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ0_WAMTrXDIgRO9zp0zXut14,driving,37,200
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ0_WAMTrXDIgRO9zp0zXut14,walking,160,200
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ9RI-mEbXDIgRlPMKybhLG8s,driving,159,758
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ9RI-mEbXDIgRlPMKybhLG8s,walking,598,758
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJKxm_ZEHXDIgRMkfQSikOmsE,driving,185,1047
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJKxm_ZEHXDIgRMkfQSikOmsE,walking,778,1006
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ6XyMgD_XDIgRa3DLDYdls7A,driving,156,483
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ6XyMgD_XDIgRa3DLDYdls7A,walking,353,483
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJx7WsoEDXDIgRCiwzCpwgCDw,driving,152,713
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJx7WsoEDXDIgRCiwzCpwgCDw,walking,261,359
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv5lMaT_XDIgRsEtHigVjhEY,driving,90,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv5lMaT_XDIgRsEtHigVjhEY,walking,233,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJDyfYfz_XDIgRLo8TE1cbBVM,driving,157,484
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJDyfYfz_XDIgRLo8TE1cbBVM,walking,353,484
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv8lkCT_XDIgR7SK4MGhE3pQ,driving,191,842
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv8lkCT_XDIgR7SK4MGhE3pQ,walking,173,239
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv8lkCT_XDIgR_06HwKpZYYI,driving,191,842
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJv8lkCT_XDIgR_06HwKpZYYI,walking,173,239
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJhWBDnj_XDIgR4eniQCU_JxM,driving,90,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJhWBDnj_XDIgR4eniQCU_JxM,walking,233,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJAczTOz_XDIgRqWfwfdK_K2U,driving,104,320
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJAczTOz_XDIgRqWfwfdK_K2U,walking,248,320
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJBUwndT_XDIgRq-dn6OFKEe0,driving,102,348
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJBUwndT_XDIgRq-dn6OFKEe0,walking,268,348
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJG55faz_XDIgR1_yaJBM_HQI,driving,78,280
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJG55faz_XDIgR1_yaJBM_HQI,walking,218,280
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJK2tBtjjXDIgRdb5P5XLSZ0Y,driving,29,121
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJK2tBtjjXDIgRdb5P5XLSZ0Y,walking,99,121
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJyx_mkzjXDIgRAiMn4XwhwPE,driving,5,20
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJyx_mkzjXDIgRAiMn4XwhwPE,walking,14,20
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJm91feD_XDIgRGK707_uqJ-g,driving,144,437
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJm91feD_XDIgRGK707_uqJ-g,walking,320,437
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJmYtYOz_XDIgRheUuWFqnMBI,driving,112,342
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJmYtYOz_XDIgRheUuWFqnMBI,walking,265,342
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJxwkLcT_XDIgRZtmcVWJWhgo,driving,90,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJxwkLcT_XDIgRZtmcVWJWhgo,walking,233,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJr032fkDXDIgRZqjWVn7ihNg,driving,155,478
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJr032fkDXDIgRZqjWVn7ihNg,walking,349,478
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJEcJXC1bXDIgRKHH2dKLIBLg,driving,78,280
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJEcJXC1bXDIgRKHH2dKLIBLg,walking,208,280
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJZ73RkjjXDIgRosYsZxibHIA,driving,5,19
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJZ73RkjjXDIgRosYsZxibHIA,walking,52,59
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ64MmPtfXDIgRkgw6W4pMtAI,driving,2,8
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ64MmPtfXDIgRkgw6W4pMtAI,walking,44,47
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ2wrFLD_XDIgRO4NJ-R8ff3I,driving,106,281
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ2wrFLD_XDIgRO4NJ-R8ff3I,walking,226,281
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJyX1CkzjXDIgRR1ZMZb1javk,driving,8,32
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJyX1CkzjXDIgRR1ZMZb1javk,walking,62,72
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJP1mvKBTXDIgRbTiB5iE_qjs,driving,278,1246
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJP1mvKBTXDIgRbTiB5iE_qjs,walking,861,1142
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJxZkDMBTXDIgRbMTuiFFufRk,driving,270,1212
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJxZkDMBTXDIgRbMTuiFFufRk,walking,835,1108
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJy8hHOhTXDIgRw8-A4gSrjXo,driving,272,1226
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJy8hHOhTXDIgRw8-A4gSrjXo,walking,844,1122
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJcfzEA6XXDIgRfFP5XFDjjG4,driving,158,489
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJcfzEA6XXDIgRfFP5XFDjjG4,walking,357,489
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgR0sQT4M9X1Ks,driving,323,1414
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgR0sQT4M9X1Ks,walking,980,1310
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJa-iP-hPXDIgRLvfnTZl_kcQ,driving,332,1437
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJa-iP-hPXDIgRLvfnTZl_kcQ,walking,997,1333
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJAUUtbT_XDIgRSY2pOOHd7Ng,driving,174,774
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJAUUtbT_XDIgRSY2pOOHd7Ng,walking,217,298
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,driving,171,766
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,walking,223,306
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgR4As0XIHLEds,driving,335,1445
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgR4As0XIHLEds,walking,1003,1342
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJGalvnm7XDIgRBtQWj9m5_Xw,driving,264,1828
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJGalvnm7XDIgRBtQWj9m5_Xw,walking,1298,1742
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJp2VVbT_XDIgR5Wxw1qbuiqc,driving,87,306
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJp2VVbT_XDIgR5Wxw1qbuiqc,walking,237,306
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ8y7Icj_XDIgRIXKKP1AQbxI,driving,90,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ8y7Icj_XDIgRIXKKP1AQbxI,walking,243,314
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgRj8B2k8NcRPA,driving,323,1414
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFeza-BPXDIgRj8B2k8NcRPA,walking,980,1310
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ3xANcz_XDIgRbwg1u3vipYg,driving,95,326
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ3xANcz_XDIgRbwg1u3vipYg,walking,252,326
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ7YBSXz_XDIgRGNTN8inplOQ,driving,163,744
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJ7YBSXz_XDIgRGNTN8inplOQ,walking,239,328
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJM1VvWz_XDIgRI5BMom8rby8,driving,184,816
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJM1VvWz_XDIgRI5BMom8rby8,walking,192,264
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJOWrwlFrXDIgRHhkfYbchTjg,driving,100,341
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJOWrwlFrXDIgRHhkfYbchTjg,walking,263,341
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJj75Ld2PXDIgReiuIymLWa50,driving,98,335
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJj75Ld2PXDIgReiuIymLWa50,walking,258,335
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJQ3A7RpLXDIgRVkS2wteLKEw,driving,197,862
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJQ3A7RpLXDIgRVkS2wteLKEw,walking,159,218
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFZiKNT_XDIgRGo1TCsq9bG0,driving,55,173
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJFZiKNT_XDIgRGo1TCsq9bG0,walking,141,173
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJRzAtXz_XDIgRo6V3stqgBXI,driving,146,705
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJRzAtXz_XDIgRo6V3stqgBXI,walking,267,367
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJayGWJj_XDIgRTvFhL-ZEteE,driving,143,338
